Site_ID,Lat,Long
517PSC038,39.50235,-120.5271
517PLC130,39.59001,-120.80068
517LCCAYB,39.59879,-120.51104
517STC294,39.5854,-121.0604
514SSC190,38.81763,-120.44086
507RCABRS,40.4531,-121.75377
507DCABSF,40.44283,-121.72449
507DCBLLB,40.43895,-121.77714
507RCBLPF,40.45478,-121.83337
507SPISFD,40.43892,-121.70881
507BTC269,40.35389,-121.63779
507SPION1,40.46151,-121.73224
507SHA003,40.43764,-121.83582
507SHA007,40.43686,-121.87711
507SHA010,40.42894,-121.65356
507SHA011,40.4374,-121.8992
507SHA034,40.47606,-121.84305
507SHA037,40.45536,-121.69169
507SHA053,40.39058,-121.84358
507SHA201,40.452925,-121.832382
534SED001,38.407354,-119.7993617
534ARC279,38.40244,-119.8
534SPC227,38.2009,-120.24876
534STN075,38.32099,-119.75207
520BCBHRB,39.72749,-121.70464
521BTC303,40.1032,-121.4648
521BTCLBC,39.78641,-121.66049
521PS0161,39.90766433,-121.619122
532SPC282,38.7349,-120.5041
532CRM206,38.58446,-120.30649
532CPC238,38.68031,-120.41584
514PCAPC2,38.9069,-120.5075
518RCNAPC,40.4002,-121.439
518CPCRCR,40.0055,-121.271
518CCCACN,39.78608,-121.51056
518FC1350,40.11089,-121.1254
518YLCAFR,40.012071,-121.2475051
518MCGRRx,39.6543,-121.39373
518CMC383,39.8378,-121.4276
518FALL01,39.85287,-121.49915
518MLC181,39.92723,-121.18121
518SED013,40.194439,-121.2845171
518GEC309,39.7459,-120.6449
518JSC273,39.76838,-120.68476
518LCC105,39.86331633,-120.1634851
518WS0103,39.6404,-121.249
518GEC297,39.7371,-120.654
518SPC134,39.68967,-120.51204
509CTC033,40.2466,-121.4075
504BCCFMR,39.7646,-121.79134
504BCCSSM,39.85719,-121.70995
504BCCUF,39.80414,-121.7287
518PS0093,39.9982,-120.7378
518SCEBAM,40.045,-121.0017
518HGY101,40.115309,-120.645051
518FCA075,39.90569,-121.04631
518RCC169,39.98886,-120.56938
518RCC289,40.0399,-120.6508
518SPC358,39.9498,-121.042
533R5NPSC,38.12402,-120.81199
532WER222,38.49611111,-119.8938889
532TGRUPX,38.48525,-120.44688
526CLC371,41.0401,-121.6697
SYRCL-VNM,39.3146864,-120.3649259